record_type,title,year,priority,status,topics,projects,methods,datasets,doi,pmid,accession,repository,organism,access,last_verified,last_updated,path
paper,Divergent single cell transcriptome and epigenome alterations in ALS and FTD patients with C9orf72 mutation,2023,1,verified,neurodegeneration; ALS; AD_ADRD; single_cell; transcriptomics; multi_omics,,snRNAseq; snATACseq; analysis_method,,10.1038/s41467-023-41033-y,37714849,,,,,2026-06-22,,02_PAPERS/2023/li_2023_c9orf72-snrna-snatac-als-ftd.md
paper,Detection of ovarian cancer via the spectral fingerprinting of quantum-defect-modified carbon nanotubes in serum by machine learning,2022,1,verified,biosensors; nanomaterials,,spectroscopy; biomarker; analysis_method; external_validation,,10.1038/s41551-022-00860-y,35301449,,,,,2026-06-22,,02_PAPERS/2022/kim_2022_swcnt-ovarian-cancer-serum-ml.md
paper,Antibody-Free Rapid Detection of SARS-CoV-2 Proteins Using Corona Phase Molecular Recognition to Accelerate Development Time,2021,1,verified,biosensors; nanomaterials,,spectroscopy; biomarker,,10.1021/acs.analchem.1c02889,34698489,,,,,2026-06-22,,02_PAPERS/2021/cho_2021_cophmore-swcnt-sars-cov-2-saliva.md
paper,Molecular characterization of selectively vulnerable neurons in Alzheimer's disease,2021,1,verified,neurodegeneration; AD_ADRD; aging; single_cell; transcriptomics,,snRNAseq; imaging,,10.1038/s41593-020-00764-7,33432193,,,,,2026-06-22,,02_PAPERS/2021/leng_2021_rorb-vulnerable-neurons-ad.md
paper,Telescope: Characterization of the retrotranscriptome by accurate estimation of transposable element expression,2019,1,verified,transcriptomics; single_cell; multi_omics,,analysis_method; software; bulk_RNAseq,,10.1371/journal.pcbi.1006453,31568525,,,,,2026-06-22,,02_PAPERS/2019/bendall_2019_telescope-te-quantification.md
paper,A Dual-Readout Near-Infrared Fluorescent Fiber Probe for High Spatiotemporal Resolution Neurotransmitter Mapping,2026,2,needs_full_text,biosensors; nanomaterials; neurodegeneration,,spectroscopy; imaging,,10.1021/acsnano.6c07740,42503866,,,,,2026-09-01,,02_PAPERS/2026/shin_2026_swcnt-fiber-probe-dopamine-neuroimaging.md
paper,A dried platelet-derived biologic for blood-brain barrier repair and hemorrhage control after TBI in mice.,2026,2,verified,mechanobiology; neurodegeneration; TBI,,controlled_exposure; imaging; bulk_RNAseq,,10.1182/blood.2025031826,41843452,,,,,2026-07-01,,02_PAPERS/2026/trivedi_2026_dried-platelet-bbb-repair-tbi.md
paper,Cholesterol dysregulation in APOE4 astrocytes promotes α-synuclein pathology in miBrains,2026,2,needs_full_text,neurodegeneration; AD_ADRD; iPSC,,iPSC; imaging,,10.1016/j.stem.2026.08.001,42636814,,,,,2026-09-01,,02_PAPERS/2026/mesentier-louro_2026_apoe4-astrocyte-alpha-syn-mibrains.md
paper,Interpretable data integration for single-cell and spatial multi-omics,2026,2,verified,transcriptomics; single_cell; spatial_omics; multi_omics,,analysis_method; software; scRNAseq; spatial_transcriptomics,,10.1016/j.cels.2025.101479,41643671,,,,,2026-06-22,,02_PAPERS/2026/yang_2026_fgot-spatial-interpretable-integration.md
paper,MAJIQ-CLIN: A novel tool to help identify Mendelian disease-causing variants from RNA-Seq data,2026,2,needs_full_text,transcriptomics; multi_omics,,analysis_method; software; bulk_RNAseq,,10.1016/j.gim.2026.102628,42267532,,,,,2026-06-22,,02_PAPERS/2026/aicher_2026_majiq-clin-splicing-outlier.md
paper,Multimodal brain cell atlas across the adult macaque lifespan,2026,2,needs_full_text,transcriptomics; single_cell; multi_omics; neurodegeneration; aging,,snRNAseq; snATACseq; analysis_method,,10.1016/j.cell.2026.07.045,42612631,,,,,2026-09-01,,02_PAPERS/2026/zhang_2026_macaque-brain-atlas-lifespan-multimodal.md
paper,NicheTrans: spatial-aware cross-omics translation,2026,2,needs_full_text,transcriptomics; single_cell; spatial_omics; multi_omics,,analysis_method; software; spatial_transcriptomics; scRNAseq,,10.1038/s41592-026-03153-3,42426404,,,,,2026-09-01,,02_PAPERS/2026/wang_2026_nichetrans-spatial-crossomics-translation.md
paper,Optical Spectral Fingerprinting Enables Sensitive Detection of Anthracycline Chemotherapeutics in Synthetic Clinical Biofluids,2026,2,partial,biosensors; nanomaterials,,spectroscopy; biomarker; analysis_method,,10.1021/acs.nanolett.6c01777,42409644,,,,,2026-09-01,,02_PAPERS/2026/israel_2026_swcnt-anthracycline-nir-spectral-fingerprinting.md
paper,Single-cell transcriptomic atlas of frontoinsular cortex reveals molecular correlates of selective neuronal vulnerability in FTD,2026,2,needs_full_text,neurodegeneration; ALS; AD_ADRD; single_cell; transcriptomics,,snRNAseq,,10.64898/2026.07.13.738307,42523377,,,,,2026-09-01,,02_PAPERS/2026/breevoort_2026_ftd-frontoinsular-cortex-snrnaseq-vulnerability.md
paper,"saseR: juggling offsets unlocks RNA-seq tools for fast and scalable differential usage, aberrant splicing and expression retrieval",2026,2,needs_full_text,transcriptomics; multi_omics,,analysis_method; software; bulk_RNAseq,,10.1186/s13059-026-03973-8,,,,,,2026-06-22,,02_PAPERS/2026/segers_2026_saser-aberrant-splicing-expression.md
paper,"Compression injury regulates astrocyte morphology, metabolic function, and extracellular matrix modification in a 3D hydrogel",2025,2,needs_full_text,mechanobiology; neurodegeneration; TBI,,controlled_exposure; ex_vivo; imaging,,10.1101/2025.06.20.660800,,,,,,2026-06-22,,02_PAPERS/2025/wip_2025_compression-injury-astrocyte-3d-hydrogel.md
paper,Decoding Hidden Features in Near-Infrared Fluorescence Spectra of Single-Walled Carbon Nanotubes via Machine Learning for Multiplexed Virus Identification,2025,2,verified,biosensors; nanomaterials,,spectroscopy; analysis_method; biomarker,,10.1021/acsnano.5c05727,40574605,,,,,2026-06-22,,02_PAPERS/2025/tian_2025_swcnt-nir-ml-virus-spectral-decoding.md
paper,Enzyme-free optical detection of uric acid using corona phase molecular recognition in near-infrared fluorescent single-walled carbon nanotubes,2025,2,needs_full_text,biosensors; nanomaterials,,spectroscopy; biomarker,,10.1039/d4nr05046k,40190234,,,,,2026-06-22,,02_PAPERS/2025/yoon_2025_cophmore-uric-acid-urine-strip.md
paper,Explosive shock wave exposure leads to age-accelerated motor and sensory decline in C. elegans,2025,2,needs_full_text,neurodegeneration; TBI; mechanobiology,,controlled_exposure; imaging,,10.64898/2025.12.19.695190,41509442,,,,,2026-06-22,,02_PAPERS/2025/tittelmeier_2025_celegans-shockwave-blast-mtbi.md
paper,Feature selection methods affect the performance of scRNA-seq data integration and querying,2025,2,verified,transcriptomics; single_cell; multi_omics; spatial_omics,,analysis_method; scRNAseq; snRNAseq,,10.1038/s41592-025-02624-3,40082610,,,,,2026-06-22,,02_PAPERS/2025/zappia_2025_feature-selection-scrnaseq-integration.md
paper,Micro-Scale Topography Triggers Dynamic 3D Nuclear Deformations,2025,2,verified,mechanobiology; nanomaterials,,controlled_exposure; imaging; cell_line,,10.1002/advs.202410052,39873289,,,,,2026-06-22,,02_PAPERS/2025/leclech_2025_microtopography-nuclear-deformation.md
paper,Molecular hallmarks of excitatory and inhibitory neuronal resilience to Alzheimer's disease,2025,2,verified,neurodegeneration; AD_ADRD; aging; single_cell; transcriptomics; multi_omics,,snRNAseq; bulk_RNAseq,,10.1186/s13024-025-00892-3,41035073,,,,,2026-06-22,,02_PAPERS/2025/castanho_2025_neuronal-resilience-alzheimer.md
paper,Shear Conditioning Promotes Microvascular Endothelial Barrier Resilience in a Human BBB-on-a-Chip Model of Systemic Inflammation Leading to Astrogliosis,2025,2,verified,mechanobiology; neurodegeneration; TBI; iPSC,,iPSC; ex_vivo; imaging; controlled_exposure,,10.1002/advs.202508271,40867058,,,,,2026-06-22,,02_PAPERS/2025/chen_2025_bbb-on-chip-shear-astrogliosis.md
paper,Spatial integration of multi-omics single-cell data with SIMO,2025,2,verified,transcriptomics; single_cell; spatial_omics; multi_omics,,analysis_method; software; scRNAseq; spatial_transcriptomics,,10.1038/s41467-025-56523-4,39893194,,,,,2026-06-22,,02_PAPERS/2025/yang_2025_simo-spatial-multiomics-integration.md
paper,Spatiotemporal molecular tracing of ultralow-volume biofluids via a soft skin-adaptive optical monolithic patch sensor,2025,2,verified,biosensors; nanomaterials,,spectroscopy; imaging; biomarker,,10.1038/s41467-025-58425-x,40188097,,,,,2026-06-22,,02_PAPERS/2025/lee_2025_swcnt-patch-sensor-biofluid-tracing.md
paper,Agarose-based 3D Cell Confinement Assay to Study Nuclear Mechanobiology,2023,2,verified,mechanobiology,,controlled_exposure; imaging,,10.1002/cpz1.847,37459474,,,,,2026-06-22,,02_PAPERS/2023/elpers_2023_agarose-confinement-nuclear-mechanobiology.md
paper,Xeno-Free Biomimetic ECM Model for Investigation of Matrix Composition and Stiffness on Astrocyte Cell Response,2023,2,verified,mechanobiology; nanomaterials; neurodegeneration,,ex_vivo; imaging; controlled_exposure,,10.3390/jfb14050256,37233366,,,,,2026-06-22,,02_PAPERS/2023/saleh_2023_ecm-stiffness-composition-astrocyte.md
paper,Orientation of neurites influences severity of mechanically induced tau pathology,2021,2,needs_full_text,mechanobiology; TBI; neurodegeneration,,controlled_exposure; imaging; cell_line,,10.1016/j.bpj.2021.07.011,34293301,,,,,2026-06-22,,02_PAPERS/2021/braun_2021_neurite-orientation-mechanical-tau.md
paper,Noninvasive ovarian cancer biomarker detection via an optical nanosensor implant,2018,2,verified,biosensors; nanomaterials,,spectroscopy; biomarker; imaging,,10.1126/sciadv.aaq1090,29675469,,,,,2026-06-22,,02_PAPERS/2018/williams_2018_swcnt-optical-nanosensor-implant-ovarian.md
paper,A unified spatial transcriptome profiling of ten mouse organs.,2026,3,verified,transcriptomics; single_cell; spatial_omics,,spatial_transcriptomics; imaging,,10.1038/s41597-026-07752-9,42374103,,,,,2026-07-01,,02_PAPERS/2026/ren_2026_stereo-seq-multiorgan-spatial-atlas.md
paper,Astrocyte Mechanobiology: Linking Biomechanical Forces to Biochemical Signaling in the Central Nervous System.,2026,3,verified,mechanobiology; neurodegeneration,,,,10.1002/glia.70167,42206674,,,,,2026-07-01,,02_PAPERS/2026/strat_2026_astrocyte-mechanobiology-review.md
paper,Nephrobase Cell+: Multimodal Single-Cell Foundation Model for Decoding Kidney Biology,2025,3,needs_full_text,transcriptomics; single_cell; spatial_omics; multi_omics,,analysis_method; scRNAseq; snRNAseq; snATACseq; spatial_transcriptomics,,10.1101/2025.09.30.679471,41256511,,,,,2026-06-22,,02_PAPERS/2025/li_2025_nephrobase-cell-plus-foundation-model.md
paper,The interplay between chemical conjugation and biologic performance in the development of alginate-based 3D matrices to mimic neural microenvironments,2023,3,needs_full_text,mechanobiology; nanomaterials,,ex_vivo,,10.1016/j.carbpol.2023.121412,37940293,,,,,2026-06-22,,02_PAPERS/2023/carvalho_2023_alginate-ecm-neural-hydrogel.md
paper,Development of Quality Control Methods for Dispersibility and Stability of Single-Wall Carbon Nanotubes in an Aqueous Medium,2021,3,verified,biosensors; nanomaterials,,spectroscopy; analysis_method,,10.3390/nano11102618,34685058,,,,,2026-06-22,,02_PAPERS/2021/benbasat_2021_swcnt-dispersion-stability-qc.md
